id,title,domain,severity,confidence,scope,status,file,function_or_endpoint,condition,impact_summary,estimated_effort,recommended_solution
WW-P2-016,IDOR in /api/launchpad/event: cross-tenant write to another account's Launchpad project,API Security,P2,High,cross-tenant,CONFIRMED,src/app/api/launchpad/event/route.ts:48-83,POST /api/launchpad/event,"Authenticated user knows/obtains another account's launchpad_projects.id","Cross-account analytics pollution and step-progress mutation via admin client",Small,Verify projectId belongs to current.account.id before writing
WW-P2-017,script-builder/save allows silent cross-account re-parenting of a draft project including lead PII,API Security,P2,Medium,cross-tenant,CONFIRMED,src/app/api/script-builder/save/route.ts:50-54;97-103,POST /api/script-builder/save,"Signed-in user knows another party's projectId","Project (and its stored lead PII) becomes persistently visible in attacker's own dashboard",Small,Do not overwrite account_id if already set to a different account
WW-P2-018,Whop membership webhook processing has no per-membership idempotency guard,API Security,P2,Medium-High,platform-wide,CONFIRMED,src/app/api/webhooks/whop/route.ts:90-183,syncMembership,"Whop redelivers a webhook for the same membership (confirmed to occur in production)","Duplicate account-activated/payment-failed emails to owner",Small-Medium,Add membership-id-keyed claim table matching the Starter Kit fix pattern
WW-P3-001,Displayed 'spots left' uses narrower query than real capacity trigger,Scheduling/Session,P3,High,single-tenant,CONFIRMED,src/app/[locale]/w/[accountSlug]/[webinarSlug]/page.tsx:198-217,registration page spots-left calc,"schedule_mode='both' webinar with overlapping JIT registrants","Page can show availability the RPC will then reject (not a security issue, RPC re-checks atomically)",Small,Compute spotsLeft server-side with same overlap-window logic as the trigger
WW-P3-002,DST spring-forward gap not specially handled in zonedWallTimeToUtc,Scheduling/Session,P3,Medium,single-tenant,CONFIRMED,src/lib/scheduling.ts:46-53,zonedWallTimeToUtc,"Scheduled time_of_day falls inside a DST spring-forward gap, 1-2x/year in DST zones",Two-pass correction converges on a shifted instant rather than raising/clamping,Small,Flag for live testing; clamp to first valid instant after the gap if it matters
WW-P3-003,Refunds/chargebacks/disputes/raw payment failures have zero handling,Whop,P3,High,single-tenant,CONFIRMED,src/app/api/webhooks/whop/route.ts:34,SYNCED_EVENTS,"Chargeback or refund issued outside the app","No automatic access revocation or ops alert",Small-Medium,Add ops alert on dispute.created/refund.created at minimum
WW-P3-004,No ops-facing alert when a webhook's membership can't be resolved to an account,Whop,P3,High,platform-wide,CONFIRMED,src/app/api/webhooks/whop/route.ts:93-98,resolveAccountId failure path,"Membership event lands with no metadata.account_id","Silent server-log-only failure; customer may get nothing with no one aware",Small,Mirror Starter Kit path's notifyOpsOfClaimFailure pattern
WW-P3-005,Local trial-expiry cron and Whop's own trial timing are independently clocked,Whop,P3,High (mechanism)/Medium (frequency),single-tenant,CONFIRMED,src/app/api/cron/send-reminders/route.ts:286-304,trial-expiry cron job,"Delayed Whop activation webhook races the cron's expiry check","Brief false cancellation window (public pages dark) before self-healing on webhook arrival",Medium,Shrink cron interval or add grace buffer past trial_ends_at
WW-P3-006,.env.example stale: dead Lemon Squeezy vars remain; required WHOP_API_KEY/WHOP_WEBHOOK_SECRET missing,Whop / API Security,P3,High,platform-wide,CONFIRMED,.env.example:38-44,N/A (config file),Always present,Fresh deploy following the example file has non-functional billing,Small,Remove dead vars; add the two required Whop vars
WW-P3-007,get_webinar_summary's single date range applied against two different timestamp columns,Analytics Integrity,P3,Medium,single-tenant,CONFIRMED,supabase/migrations/20260830000010_registration_page_views.sql:63-98,get_webinar_summary,"Registrant visits on day 1 but registers on day 3 (evergreen/JIT webinars)","Narrow date filter mixes visit and registration cohorts",Small,Document as approximation or track visits per-visitor cohort
WW-P3-008,No retention/archival policy on viewer_events/page_views/registrant_messages plus missing supporting indexes,Analytics Integrity,P3,Medium,platform-wide,CONFIRMED,N/A (absence confirmed across all migrations),N/A,High-traffic or long-running evergreen webinar,Unbounded table growth; missing created_at/video_timestamp_seconds indexes slow every date-range RPC,Medium,Add the missing indexes; add a retention/archival job
WW-P3-009,Concurrent-viewer presence counting can over-count across a disconnect/reconnect gap,Analytics Integrity,P3,Low,single-tenant,CONFIRMED,supabase/migrations/20260828000003_schedule_performance_and_concurrent_viewers.sql:116-135,concurrent-viewer RPC,"Registrant disconnects and reconnects within the same session","Over-counted presence (currently disabled in UI, not currently misleading anyone)",Medium,Build multiple join/leave sub-intervals per registrant before re-enabling
WW-P3-010,Wizard video preview gives no diagnostic when a broken video can't be saved (YouTube),Video,P3,High,single-tenant,CONFIRMED,src/dashboard/webinars/[id]/video-section.tsx:70-71,handleDurationReady,"Host pastes a broken YouTube URL during setup","Preview hangs indefinitely with zero explanation (fail-safe works, UX doesn't explain why)",Small,Pass autoPlay in preview too or add explicit error surfacing
WW-P3-011,No thumbnail for direct-URL/Vimeo promo videos on the public registration page,Video,P3,High,single-tenant,CONFIRMED,src/components/promo-video-embed.tsx:44-59,PromoVideoEmbed,"Promo video is Vimeo or direct-URL (not YouTube)",Cosmetic inconsistency; black background with play icon instead of a frame,Small,Add thumbnail fetch/generation for the other two providers
WW-P3-012,parseDirectVideoUrl's https-only check doesn't restrict private/internal addresses,Video,P3,Medium,single-tenant (weak, browser-side only),CONFIRMED,src/lib/direct-video.ts:18,parseDirectVideoUrl,"Host stores a direct_url pointing at a private/internal address",Not server-side SSRF (registrant's own browser fetches it); narrow side-channel at most,Small,Add a host-based denylist for completeness
WW-P3-013,snapshot_platform_metrics() SECURITY DEFINER has no admin guard and no grant; same ambiguity class as WW-P1-012 lower impact,Multi-Tenant Security,P3,Medium (pending live verification),platform-wide,CONFIRMED (mechanism) / condition PENDING LIVE CHECK,supabase/migrations/20260902000001_platform_daily_brief.sql:37-84,snapshot_platform_metrics,Same live-DB grant ambiguity as WW-P1-012,"If callable: forced out-of-schedule (but correctly-computed) snapshot upsert, minor DB-load nuisance",Small,Explicit REVOKE EXECUTE plus is_platform_admin() guard as defense in depth
WW-P3-014,Migration comment about platform_admins' own RLS history is factually wrong,Multi-Tenant Security,P3,High,platform-wide (documentation only),CONFIRMED,supabase/migrations/20260909000002_partner_engine_base.sql:7-8,N/A (comment),N/A,No functional impact; could mislead a future engineer,Trivial,Correct the comment
WW-P3-015,registration_confirmation email can be sent twice for one logical registration,API Security (Email),P3,High,single-tenant,CONFIRMED,src/lib/actions/register.ts:85-93;96-207,sendConfirmationEmail,"Double-click registration or retried request within RPC's dedup window",Duplicate confirmation email (self-limiting, deliverability annoyance only),Small,Apply claim-before-send pattern or return is_new flag from the RPC
WW-P3-016,Host-authored custom email templates can ship with literal unreplaced {{typo}} placeholders,API Security (Email),P3,High,single-tenant,CONFIRMED,src/lib/email-templates.ts:40-44,renderTemplate,"Host types an unknown variable name (e.g. {{fecha}}) in a custom template",Literal {{typo}} text visible in every subsequent outbound email using that template,Small,Add save-time validation rejecting unknown variable names
WW-P4-001,registration_confirmation omits RFC 8058 List-Unsubscribe headers every other registrant email includes,API Security (Email),P4,High,single-tenant,CONFIRMED,src/lib/actions/register.ts,sendConfirmationEmail,Always present for this one email type,Minor deliverability/spam-scoring inconsistency; footer link still works,Trivial,Add headers: unsubscribeHeaders(unsubscribeUrl) to match other sends
